text	result	texPattern	valuePattern	form
November the next year	2122-11	MONTH:$1 the Next TIME_UNIT:$0	Action:ToNext TimeUnit:$0 Action:Modify* Enum:$1	POINT
May last year	2120-05	MONTH:$1 LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0 Action:Modify* Enum:$1	POINT
May the last year	2120-05	MONTH:$1 the LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0 Action:Modify* Enum:$1	POINT
may this year	2121-05	MONTH:$0 THIS year	Action:Modify* Enum:$0	POINT
may the current year	2121-05	MONTH:$0 the THIS year	Action:Modify* Enum:$0	POINT
may of that year	2121-05	MONTH:$0 of that year	Action:Modify* Enum:$0	POINT
may of the same year	2121-05	MONTH:$0 of the same year	Action:Modify* Enum:$0	POINT
###	season granularity
###	date_r9
summer	2121-SU	SEASON:$0	Action:Modify* Enum:$0	POINT
early summer	2121-SU	PART_WORD SEASON:$0	Action:Modify* Enum:$0	POINT
the summer	2121-SU	the SEASON:$0	Action:Modify* Enum:$0	POINT
winter 2001	2001-WI	SEASON:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
winter of 2001	2001-WI	SEASON:$1 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
the winter 2001	2001-WI	the SEASON:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
the winter of 2001	2001-WI	the SEASON:$1 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
early winter 2001	2001-WI	PART_WORD SEASON:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
early winter of 2001	2001-WI	PART_WORD SEASON:$1 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
winter 01	2101-WI	SEASON:$1 NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
summer of 69	2169-SU	SEASON:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
the winter 01	2101-WI	the SEASON:$1 NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
